2022-08-03 10:57:29.822 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.IndexingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-03 10:57:29.959 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-03 10:57:29.969 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:174  | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6a370f4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2abf4075, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@770d3326, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4cc8eb05, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@51f116b8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@19d481b, org.springframework.test.context.event.EventPublishingTestExecutionListener@1f97cf0d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@140c9f39, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4d910fd6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7690781, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@77eca502, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3246fb96]
2022-08-03 10:57:30.281 |  INFO | 5512 |            main | com.elasticlab.IndexingTest                :55   | Starting IndexTest using Java 1.8.0_181 on chengzw-2.local with PID 5512 (started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-03 10:57:30.282 |  INFO | 5512 |            main | com.elasticlab.IndexingTest                :640  | The following 1 profile is active: "default"
2022-08-03 10:57:31.755 |  INFO | 5512 |            main | com.elasticlab.IndexingTest                :61   | Started IndexTest in 1.748 seconds (JVM running for 2.376)
2022-08-03 10:58:33.404 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.IndexingTest], using SpringBootContextLoader
2022-08-03 10:58:33.409 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.IndexingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-03 10:58:33.550 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-03 10:58:33.560 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:174  | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6a370f4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2abf4075, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@770d3326, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4cc8eb05, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@51f116b8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@19d481b, org.springframework.test.context.event.EventPublishingTestExecutionListener@1f97cf0d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@140c9f39, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4d910fd6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7690781, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@77eca502, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3246fb96]
2022-08-03 10:58:33.860 |  INFO | 5542 |            main | com.elasticlab.IndexingTest                :55   | Starting IndexTest using Java 1.8.0_181 on chengzw-2.local with PID 5542 (started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-03 10:58:33.860 |  INFO | 5542 |            main | com.elasticlab.IndexingTest                :640  | The following 1 profile is active: "default"
2022-08-03 10:58:35.287 |  INFO | 5542 |            main | com.elasticlab.IndexingTest                :61   | Started IndexTest in 1.691 seconds (JVM running for 2.33)
2022-08-03 10:58:35.903 |  INFO | 5542 | /O dispatcher 1 | com.elasticlab.ElasticsearchApplication :59   | Indexed with version 3
2022-08-03 10:59:40.779 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.IndexingTest], using SpringBootContextLoader
2022-08-03 10:59:40.784 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.IndexingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-03 10:59:40.930 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-03 10:59:40.941 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:174  | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6a370f4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2abf4075, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@770d3326, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4cc8eb05, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@51f116b8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@19d481b, org.springframework.test.context.event.EventPublishingTestExecutionListener@1f97cf0d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@140c9f39, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4d910fd6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7690781, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@77eca502, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3246fb96]
2022-08-03 10:59:41.424 |  INFO | 5574 |            main | com.elasticlab.IndexingTest                :55   | Starting IndexTest using Java 1.8.0_181 on chengzw-2.local with PID 5574 (started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-03 10:59:41.425 |  INFO | 5574 |            main | com.elasticlab.IndexingTest                :640  | The following 1 profile is active: "default"
2022-08-03 10:59:43.018 |  INFO | 5574 |            main | com.elasticlab.IndexingTest                :61   | Started IndexTest in 2.039 seconds (JVM running for 2.689)
2022-08-03 10:59:43.639 |  INFO | 5574 | /O dispatcher 1 | com.elasticlab.ElasticsearchApplication :59   | Indexed with version 1
2022-08-03 11:01:03.172 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.IndexingTest], using SpringBootContextLoader
