2022-08-07 11:09:36.930 |  INFO | 6638 |            main | com.elasticlab.IndexingTest             :55   | Starting IndexingTest using Java 1.8.0_181 on chengzw-2.local with PID 6638 (started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-07 11:09:36.931 |  INFO | 6638 |            main | com.elasticlab.IndexingTest             :634  | No active profile set, falling back to 1 default profile: "default"
2022-08-07 11:09:38.657 |  INFO | 6638 |            main | com.elasticlab.IndexingTest             :61   | Started IndexingTest in 2.134 seconds (JVM running for 2.882)
2022-08-07 11:09:39.128 |  INFO | 6638 |            main | com.elasticlab.ElasticsearchApplication :95   | Indexed Response: {"_id":"mdxHdoIB8FF1ShiqlmQN","_index":"products","_primary_term":1,"result":"created","_seq_no":1,"_shards":{"failed":0.0,"successful":1.0,"total":2.0},"_version":1}
2022-08-07 11:13:05.997 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.SearchingTest], using SpringBootContextLoader
2022-08-07 11:13:06.003 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.SearchingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-07 11:13:06.150 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-07 11:13:06.160 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:174  | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2abf4075, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@770d3326, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4cc8eb05, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51f116b8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@19d481b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1f97cf0d, org.springframework.test.context.event.EventPublishingTestExecutionListener@140c9f39, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4d910fd6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7690781, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@77eca502, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3246fb96, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2e222612]
2022-08-07 11:13:06.735 |  INFO | 6720 |            main | com.elasticlab.SearchingTest            :55   | Starting SearchingTest using Java 1.8.0_181 on chengzw-2.local with PID 6720 (started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-07 11:13:06.736 |  INFO | 6720 |            main | com.elasticlab.SearchingTest            :634  | No active profile set, falling back to 1 default profile: "default"
2022-08-07 11:13:08.227 |  INFO | 6720 |            main | com.elasticlab.SearchingTest            :61   | Started SearchingTest in 2.026 seconds (JVM running for 2.782)
2022-08-07 11:13:08.745 |  INFO | 6720 |            main | com.elasticlab.ElasticsearchApplication :50   | Product name: computer
2022-08-07 11:18:22.073 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.SearchingTest], using SpringBootContextLoader
